afdhere_jama	american filmmakers
afdhere_jama	american male journalists
afdhere_jama	american male poets
afdhere_jama	american muslims
afdhere_jama	american people of somali descent
afdhere_jama	gay writers
afdhere_jama	lgbt muslims
afdhere_jama	lgbt people from somalia
afdhere_jama	somalian writers
afdlin_shauki	1971 births
afdlin_shauki	afdlin shauki bin aksan also known as afdlin shauki chief kodok
afdlin_shauki	malay-language singers
afdlin_shauki	malaysian comedians
afdlin_shauki	malaysian male actors
afdlin_shauki	malaysian male singers
afdlin_shauki	malaysian muslims
afdlin_shauki	malaysian people of malay descent
afdlin_shauki	malaysian television personalities
afdlin_shauki	people from johor
afdlin_shauki	people from johor bahru
afonso_arinos	1868 births
afonso_arinos	1916 deaths
afonso_arinos	afonso arinos was a brazilian writer. in the 19th century afonso
afonso_arinos	brazilian male writers
africanus_horton	1835 births
africanus_horton	1883 deaths
africanus_horton	africanus horton also known as james beale was a creole african
africanus_horton	alumni of king's college london
africanus_horton	alumni of the university of edinburgh
africanus_horton	folklorists
africanus_horton	people educated at the sierra leone grammar school
africanus_horton	sierra leone creole people
africanus_horton	sierra leonean people of igbo descent
africanus_horton	sierra leonean physicians
africanus_horton	sierra leonean writers
agah_efendi	1832 births
agah_efendi	1885 deaths
agah_efendi	19th-century ottoman writers
agah_efendi	çapanzade or çapanoğlu agah efendi was an ottoman writer and
agah_efendi	ottoman civil servants
agah_efendi	young turks
agata_tuszyńska	1957 births
agata_tuszyńska	agata tuszynska is a polish writer poet and journalist
agata_tuszyńska	polish journalists
agata_tuszyńska	polish poets
agata_tuszyńska	polish women writers
aglaia_kremezi	aglaia kremezi is a greek food writer and journalist often considered
aglaia_kremezi	greek food writers
aglaia_kremezi	greek women journalists
aglaia_kremezi	people from the cyclades
aglaia_kremezi	women cookbook writers
aglaia_kremezi	women food writers
agnes_grainger_stewart	1871 births
agnes_grainger_stewart	1956 deaths
agnes_grainger_stewart	agnes grainger stewart was a scottish writer. she was born in
agnes_grainger_stewart	scottish biographers
agnes_grainger_stewart	scottish non-fiction writers
agnes_grainger_stewart	scottish women writers
agnes_grainger_stewart	writers from edinburgh
agnes_herbert	1960 deaths
agnes_herbert	agnes elsie diana herbert was a writer and big game hunter. the
agnes_herbert	british hunters
agnes_herbert	british travel writers
agnes_herbert	manx women writers
agnes_herbert	manx writers
agnes_herbert	officers of the order of the british empire
agnes_herbert	year of birth uncertain
agnes_hewes	1874 births
agnes_hewes	1963 deaths
agnes_hewes	agnes danforth hewes was an american writer of children's literature
agnes_hewes	american children's writers
agnes_hewes	elmira college alumni
agnes_hewes	newbery honor winners
agnes_hewes	people from tripoli lebanon
agnes_hewes	writers from new york
agnes_hewes	writers from san francisco
agnes_mary_frances_duclaux	1857 births
agnes_mary_frances_duclaux	1944 deaths
agnes_mary_frances_duclaux	agnes mary frances robinson known as agnes-marie-françois darmesteter
agnes_mary_frances_duclaux	english women poets
agnes_mary_frances_duclaux	english women writers
agnes_morley_cleaveland	1874 births
agnes_morley_cleaveland	1958 deaths
agnes_morley_cleaveland	agnes morley cleaveland was an american writer and cattle rancher
agnes_morley_cleaveland	american women writers
agnes_morley_cleaveland	american women's basketball players
agnes_morley_cleaveland	writers from new mexico
agnes_nixon	1922 births
agnes_nixon	2016 deaths
agnes_nixon	agnes nixon was an american television writer and producer. she
agnes_nixon	all my children
agnes_nixon	american people of irish descent
agnes_nixon	american soap opera writers
agnes_nixon	american television writers
agnes_nixon	daytime emmy award winners
agnes_nixon	deaths from parkinson's disease
agnes_nixon	northwestern university school of communication alumni
agnes_nixon	one life to live
agnes_nixon	people from chicago
agnes_nixon	women soap opera writers
agnes_nixon	women television writers
agnes_sligh_turnbull	1888 births
agnes_sligh_turnbull	1982 deaths
agnes_sligh_turnbull	agnes sligh turnbull was a bestselling american writer most noted
agnes_sligh_turnbull	american people of scottish descent
agnes_sligh_turnbull	american women writers
agnes_sligh_turnbull	indiana university of pennsylvania alumni
agnes_sligh_turnbull	people from maplewood new jersey
agnes_sligh_turnbull	people from westmoreland county pennsylvania
agnes_sligh_turnbull	university of chicago alumni
agnes_sligh_turnbull	writers from pittsburgh
agnes_strickland	1796 births
agnes_strickland	1874 deaths
agnes_strickland	19th-century english writers
agnes_strickland	19th-century historians
agnes_strickland	19th-century women writers
agnes_strickland	agnes strickland was an english historical writer and poet
agnes_strickland	british women historians
agnes_strickland	english historians
agnes_strickland	english women writers
agnes_strickland	people from southwold
agneta_horn	1629 births
agneta_horn	1672 deaths
agneta_horn	17th-century swedish writers
agneta_horn	17th-century women writers
agneta_horn	agneta horn was a swedish writer born to noble parents and a
agneta_horn	swedish autobiographers
agneta_horn	swedish nobility
agneta_horn	swedish women writers
agneta_horn	women autobiographers
agnishekhar	1956 births
agnishekhar	agnishekhar or agni shekhar is a kashmiri pandit writer and political
agnishekhar	hindi poets
agnishekhar	kashmiri poets
agosti_xaho	1811 births
agosti_xaho	1858 deaths
agosti_xaho	augustin chaho in french or agosti xaho in basque was an important
agosti_xaho	basque writers
agosti_xaho	basque-language writers
agosti_xaho	french basque politicians
agosti_xaho	french male writers
agosti_xaho	french people of the revolutions of 1848
agosti_xaho	people of the first carlist war
agustin_cueva	1937 births
agustin_cueva	1992 deaths
agustin_cueva	agustin cueva davila was an ecuadorian writer literary critic
agustin_cueva	central university of ecuador faculty
agustin_cueva	ecuadorian male writers
agustin_cueva	national autonomous university of mexico faculty
agustin_cueva	people from ibarra ecuador
ahlam_mosteghanemi	ahlam mosteghanemi is an algerian writer who has been called
ahlam_mosteghanemi	algerian people
ahlam_mosteghanemi	algerian women writers
ahlam_mosteghanemi	algerian writers
ahlam_mosteghanemi	recipients of the naguib mahfouz medal for literature
ahlam_mosteghanemi	university of algiers alumni
ahlam_mosteghanemi	university of paris alumni
ahlam_mosteghanemi	writers from tunis
ahmad_a'zam	1949 births
ahmad_a'zam	2014 deaths
ahmad_a'zam	ahmad a'zam  was an uzbek writer author journalist scriptwriter
ahmad_a'zam	ethnic uzbek people
ahmad_a'zam	uzbekistani writers
ahmad_baba_al_massufi	1556 births
ahmad_baba_al_massufi	1627 deaths
ahmad_baba_al_massufi	ahmad baba al-massufi al-timbukti full name abu al-abbas ahmad
ahmad_baba_al_massufi	malian academics
ahmad_baba_al_massufi	malian scholars
ahmad_baba_al_massufi	people from timbuktu
ahmad_baba_al_massufi	people from tombouctou region
ahmad_bashir	1923 births
ahmad_bashir	2004 deaths
ahmad_bashir	ahmad bashir  was a writer journalist intellectual and film director
ahmad_bashir	journalists from lahore
ahmad_bashir	olympic medalists in field hockey
ahmad_bashir	pakistani film directors
ahmad_bashir	pakistani film producers
ahmad_bashir	pakistani filmmakers
ahmad_bashir	pakistani journalists
ahmad_bashir	pakistani literary critics
ahmad_bashir	pakistani writers
ahmad_bashir	people from gujranwala district
ahmad_bashir	urdu scholars
ahmad_bashir	writers from lahore
ahmad_fuadi	1972 births
ahmad_fuadi	ahmad fuadi is an indonesian writer novelist and social entrepreneur. his
ahmad_fuadi	alumni of royal holloway university of london
ahmad_fuadi	fulbright scholars
ahmad_fuadi	george washington university alumni
ahmad_fuadi	national university of singapore alumni
ahmad_fuadi	padjadjaran university alumni
ahmad_kamyabi_mask	1944 births
ahmad_kamyabi_mask	ahmad kamyabi mask is a writer translator publisher and current
ahmad_kamyabi_mask	french literary critics
ahmad_kamyabi_mask	french male writers
ahmad_kamyabi_mask	french-language writers
ahmad_kamyabi_mask	iranian translators
ahmad_kamyabi_mask	iranian writers
ahmad_kamyabi_mask	people from birjand
ahmad_kamyabi_mask	university of tehran alumni
ahmed_baba_miské	1935 births
ahmed_baba_miské	2016 deaths
ahmed_baba_miské	ahmed baba miské was a mauritanian politician writer diplomat
ahmed_baba_miské	ambassadors of mauritania to the united states
ahmed_baba_miské	cheikh anta diop university alumni
ahmed_baba_miské	mauritanian arab nationalists
ahmed_baba_miské	mauritanian diplomats
ahmed_baba_miské	mauritanian writers
ahmed_baba_miské	permanent representatives of mauritania to the united nations
ahmed_deedat	1918 births
ahmed_deedat	2005 deaths
ahmed_deedat	ahmed hoosen deedat was a south african writer and public speaker
ahmed_deedat	critics of christianity
ahmed_deedat	indian emigrants to south africa
ahmed_deedat	indian muslims
ahmed_deedat	king faisal international prize recipients for service to islam
ahmed_deedat	mujaddid
ahmed_deedat	muslim apologists
ahmed_deedat	muslim missionaries
ahmed_deedat	south african muslims
ahmed_deedat	south african people of gujarati descent
ahmed_deedat	south african people of indian descent
ahmed_ismail_samatar	1950 births
ahmed_ismail_samatar	ahmed ismail samatar is a prominent somali writer professor and
ahmed_ismail_samatar	american people of somali descent
ahmed_ismail_samatar	macalester college faculty
ahmed_ismail_samatar	somalian non-fiction writers
ahmed_ismail_samatar	somalian scholars
ahmed_ismail_samatar	somalian writers
ahmed_ismail_samatar	somalists
ahmed_ismail_samatar	university of denver alumni
ahmed_mohamed_al-hofi	1910 births
ahmed_mohamed_al-hofi	1983 deaths
ahmed_mohamed_al-hofi	ahmed mohamed al-hofi was an egyptian writer and an expert in
ahmed_mohamed_al-hofi	ain shams university faculty
ahmed_mohamed_al-hofi	al-azhar university faculty
ahmed_mohamed_al-hofi	cairo university alumni
ahmed_mohamed_al-hofi	cairo university faculty
ahmed_mohamed_al-hofi	egyptian writers
ahmed_mohamed_al-hofi	recipients of the order of merit egypt
ahmed_mourad	1978 births
ahmed_mourad	ahmed mourad is an egyptian writer novelist and professional
ahmed_mourad	egyptian novelists
ahmed_muradbegović	1898 births
ahmed_muradbegović	1972 deaths
ahmed_muradbegović	20th-century poets
ahmed_muradbegović	ahmed muradbegović was a bosniak writer dramatist and novelist
ahmed_muradbegović	bosnia and herzegovina muslims
ahmed_muradbegović	bosnia and herzegovina writers
ahmed_muradbegović	bosniak poets
ahmed_muradbegović	bosniak writers
ahmed_muradbegović	bosniaks of bosnia and herzegovina
ahmed_muradbegović	people from gradačac
ahmed_rami_:writer	1946 births
ahmed_rami_:writer	20th-century moroccan people
ahmed_rami_:writer	ahmed rami is a moroccan-swedish writer and holocaust denier. he
ahmed_rami_:writer	berber moroccans
ahmed_rami_:writer	berber writers
ahmed_rami_:writer	moroccan army officers
ahmed_rami_:writer	moroccan emigrants to sweden
ahmed_rami_:writer	moroccan exiles
ahmed_rami_:writer	moroccan military officers
ahmed_rami_:writer	moroccan writers
ahmed_rami_:writer	national union of popular forces politicians
ahmed_rami_:writer	people convicted of hate crimes
ahmed_rami_:writer	people from tafraout
ahmed_rami_:writer	swedish holocaust deniers
ahmed_rami_:writer	swedish muslims
ahmed_rami_:writer	swedish people of berber descent
ahmet_zappa	1974 births
ahmet_zappa	ahmet emuukha rodan zappa is an american writer producer publisher
ahmet_zappa	american film producers
ahmet_zappa	american male child actors
ahmet_zappa	american male film actors
ahmet_zappa	american male musicians
ahmet_zappa	american male novelists
ahmet_zappa	american male television actors
ahmet_zappa	american novelists of arab descent
ahmet_zappa	american people of portuguese descent
ahmet_zappa	american people of sicilian descent
ahmet_zappa	american publishers people
ahmet_zappa	american writers of greek descent
ahmet_zappa	american writers of italian descent
ahmet_zappa	film producers from california
ahmet_zappa	frank zappa
ahmet_zappa	male actors from los angeles
ahmet_zappa	musicians from los angeles
ahmet_zappa	writers from los angeles
aida_gonzález	1962 births
aida_gonzález	20th-century women writers
aida_gonzález	aída judith gonzález castrellón is a panamanian writer and doctor. she
aida_gonzález	panamanian women writers
aidan_higgins	1927 births
aidan_higgins	2015 deaths
aidan_higgins	20th-century irish writers
aidan_higgins	20th-century short story writers
aidan_higgins	21st-century irish writers
aidan_higgins	21st-century short story writers
aidan_higgins	aidan higgins was an irish writer. he wrote short stories travel
aidan_higgins	aosdána members
aidan_higgins	irish male novelists
aidan_higgins	irish novelists
aidan_higgins	irish short story writers
aidan_higgins	irish travel writers
aidan_higgins	james tait black memorial prize recipients
aidan_higgins	male short story writers
aidan_higgins	people educated at clongowes wood college
aidan_higgins	people from celbridge
aijaz_ahmad_mangi	1965 births
aijaz_ahmad_mangi	aijaz ahmad mangi born february 25 1965 in shikarpur sindh is
aijaz_ahmad_mangi	pakistani columnists
aijaz_ahmad_mangi	pakistani journalists
aijaz_ahmad_mangi	pakistani writers
aijaz_ahmad_mangi	sindhi people
aileen_fisher	1906 births
aileen_fisher	2002 deaths
aileen_fisher	20th-century poets
aileen_fisher	aileen lucia fisher was an american writer of more than a hundred
aileen_fisher	american children's writers
aileen_fisher	american nature writers
aileen_fisher	children's poets
aileen_fisher	people from iron river michigan
aileen_paterson	1934 births
aileen_paterson	aileen paterson mbe is a scottish writer and illustrator best
aileen_paterson	alumni of the edinburgh college of art
aileen_paterson	people from burntisland
aileen_paterson	people from kirkcaldy
aileen_paterson	scottish children's writers
aileen_paterson	scottish illustrators
aileen_paterson	scottish women artists
aileen_paterson	scottish women writers
ailsa_piper	1959 births
ailsa_piper	ailsa mary-ellen piper is an australian writer director and performer
ailsa_piper	australian dramatists and playwrights
ailsa_piper	australian soap opera actresses
ailsa_piper	australian television actresses
ailsa_piper	australian theatre directors
ailsa_piper	australian women writers
ailsa_piper	women dramatists and playwrights
aimé_martin	1781 births
aimé_martin	1844 deaths
aimé_martin	aimé martin was a french writer. born in lyon he moved to paris
aimé_martin	french male writers
aino_malmberg	1865 births
aino_malmberg	1933 deaths
aino_malmberg	aino emma wilhelmina malmberg née perenius was a finnish writer
aino_malmberg	finnish writers
aino_malmberg	independent labour party politicians
aino_malmberg	people from häme province grand duchy of finland
aino_malmberg	people from hollola
aino_malmberg	university of helsinki alumni
aino_malmberg	writers from päijänne tavastia
aisha_muharrar	1984 births
aisha_muharrar	aisha muharrar is an american television writer and author of
aisha_muharrar	american comedy writers
aisha_muharrar	american television writers
aisha_muharrar	harvard lampoon people
aisha_muharrar	harvard university alumni
aisha_muharrar	people from bay shore new york
aisha_muharrar	women television writers
aisha_muharrar	writers from new york
ajay_sastry	1975 births
ajay_sastry	ajay sastry is a director/writer who directed his maiden film
ajay_sastry	indian male screenwriters
ajay_sastry	telugu people
ajit_cour	1934 births
ajit_cour	ajit cour is an indian writer. she has written novels and short
ajit_cour	indian women writers
ajit_cour	punjabi literature
ajit_cour	punjabi-language writers
ajit_cour	recipients of the padma shri in literature & education
ajit_cour	recipients of the sahitya akademi award in punjabi
akash_rajpal	1974 births
akash_rajpal	akash rajpal is an indian health entrepreneur working against
akash_rajpal	marathi music
akash_rajpal	social entrepreneurs
akif_pirinçci	1959 births
akif_pirinçci	akif pirinçci is a german writer of turkish origin who is best
akif_pirinçci	critics of islam
akif_pirinçci	german crime fiction writers
akif_pirinçci	german fantasy writers
akif_pirinçci	german male novelists
akif_pirinçci	german novelists
akif_pirinçci	german people of turkish descent
akif_pirinçci	german screenwriters
akif_pirinçci	immigration-critical activism in germany
akif_pirinçci	male screenwriters
akif_pirinçci	opposition to islam in germany
akif_pirinçci	people from istanbul province
akira_hori	1944 births
akira_hori	akira hori is a japanese science fiction writer. he has been
akira_hori	japanese science fiction writers
akira_hori	osaka university alumni
akira_hori	people from hyōgo prefecture
akira_yoshimura	1927 births
akira_yoshimura	2006 deaths
akira_yoshimura	20th-century novelists
akira_yoshimura	akira yoshimura was a prize-winning japanese writer. he was the
akira_yoshimura	gakushuin university alumni
akira_yoshimura	japanese historical novelists
akira_yoshimura	japanese writers
akira_yoshimura	recipients of the order of the rising sun 3rd class
akira_yoshimura	writers from tokyo
akiva_schaffer	1977 births
akiva_schaffer	21st-century american male actors
akiva_schaffer	akiva d. 'kiv' schaffer is an american film director producer
akiva_schaffer	american comedy musicians
akiva_schaffer	american film directors
akiva_schaffer	american internet celebrities
akiva_schaffer	american jews
akiva_schaffer	american male comedians
akiva_schaffer	american male film actors
akiva_schaffer	american male television actors
akiva_schaffer	american television directors
akiva_schaffer	american television writers
akiva_schaffer	berkeley high school berkeley california alumni
akiva_schaffer	film directors from california
akiva_schaffer	jewish american writers
akiva_schaffer	jewish comedians
akiva_schaffer	jewish rappers
akiva_schaffer	male actors from berkeley california
akiva_schaffer	the lonely island members
akiva_schaffer	university of california santa cruz alumni
akiva_schaffer	writers from berkeley california
akram_aylisli	1937 births
akram_aylisli	20th-century azerbaijani dramatists and playwrights
akram_aylisli	20th-century azerbaijani novelists
akram_aylisli	21st-century azerbaijani dramatists and playwrights
akram_aylisli	21st-century azerbaijani novelists
akram_aylisli	akram najaf oglu naibov better known by his pen name akram aylisli
akram_aylisli	azerbaijani dramatists and playwrights
akram_aylisli	azerbaijani male novelists
akram_aylisli	azerbaijani novelists
akram_aylisli	azerbaijani politicians
akram_aylisli	azerbaijani-language writers
akram_aylisli	recipients of the istiglal order
akram_aylisli	recipients of the shohrat order
akshay_chandra_sharma	1918 births
akshay_chandra_sharma	2009 deaths
akshay_chandra_sharma	20th-century indian writers
akshay_chandra_sharma	akshay chandra sharma was a hindi writer poet and a keen educationist
akshay_chandra_sharma	hindi poets
akshay_chandra_sharma	hindi-language writers
akshay_chandra_sharma	indian male writers
akshay_chandra_sharma	people from churu district
akshay_chandra_sharma	writers from rajasthan
al_boasberg	1891 births
al_boasberg	1937 deaths
al_boasberg	al boasberg was an american comedy writer in vaudeville radio
al_boasberg	american film directors
al_boasberg	american jews
al_boasberg	american male screenwriters
al_boasberg	burials at forest lawn cemetery buffalo
al_boasberg	people from buffalo new york
al_boasberg	writers from new york
al_ewing	1977 births
al_ewing	al ewing is a british comics writer who has mainly worked in
al_ewing	british comics writers
al_feldstein	1925 births
al_feldstein	2014 deaths
al_feldstein	20th-century american painters
al_feldstein	21st-century american painters
al_feldstein	albert bernard 'al' feldstein was an american writer editor and
al_feldstein	american illustrators
al_feldstein	american jews
al_feldstein	american magazine editors
al_feldstein	american male painters
al_feldstein	animal artists
al_feldstein	art students league of new york alumni
al_feldstein	artists from montana
al_feldstein	artists of the american west
al_feldstein	jewish painters
al_feldstein	journalists from montana
al_feldstein	mad magazine people
al_feldstein	people from flatbush brooklyn
al_feldstein	will eisner award hall of fame inductees
al_hewetson	1946 births
al_hewetson	2004 deaths
al_hewetson	alan hewetson was a scottish-canadian writer and editor of american
al_hewetson	canadian comics writers
al_hewetson	canadian magazine publishers people
al_hewetson	people from glasgow
al_hewetson	year of birth uncertain
al_milgrom	allen l. 'al' milgrom is an american comic book writer penciller
al_milgrom	american comics artists
al_milgrom	american comics writers
al_milgrom	artists from detroit
al_milgrom	comic book editors
al_milgrom	comics inkers
al_milgrom	university of michigan alumni
al_weisel	1963 births
al_weisel	2010 deaths
al_weisel	al weisel was a freelance writer who lived in new york city. weisel
al_weisel	people from new york city
al_weisel	writers from new york
al-jahiz	776 births
al-jahiz	860s deaths
al-jahiz	9th-century arabic writers
al-jahiz	al-jāḥiẓ  was an arabic prose writer and author of works of literature
al-jahiz	arab writers
al-jahiz	muslim scholars
al-jahiz	mutazilites
al-jahiz	people from basra
al-jahiz	zoologists of medieval islam
al-saddiq_al-raddi	1969 births
al-saddiq_al-raddi	al-saddiq al-raddi arabic: الصادق الرضي‎‎ born january 1969 in
al-saddiq_al-raddi	alumni of soas university of london
al-saddiq_al-raddi	people from omdurman
al-saddiq_al-raddi	sudanese poets
alaa_al_aswany	1957 births
alaa_al_aswany	alaa al-aswany is an egyptian writer and a founding member of
alaa_al_aswany	egyptian democracy activists
alaa_al_aswany	egyptian dentists
alaa_al_aswany	egyptian novelists
alaa_al_aswany	egyptian people of nubian descent
alain_absire	1950 births
alain_absire	20th-century french novelists
alain_absire	alain absire is a french writer and winner of the prix femina
alain_absire	french male novelists
alain_absire	people from rouen
alain_absire	prix femina winners
alain_absire	writers from normandy
alain_chedanne	alain chedanne was a french writer and professional squatter. he
alain_chedanne	french male writers
alain_chedanne	prix des deux magots winners
alain_damasio	1969 births
alain_damasio	21st-century french novelists
alain_damasio	alain damasio is a french writer of sci-fi and fantasy. he also
alain_damasio	chevaliers of the ordre des arts et des lettres
alain_damasio	french fantasy writers
alain_damasio	french science fiction writers
alain_damasio	people from lyon
alain_dorémieux	1933 births
alain_dorémieux	1998 deaths
alain_dorémieux	20th-century french novelists
alain_dorémieux	20th-century translators
alain_dorémieux	alain dorémieux is a writer and translator of french science-fiction
alain_dorémieux	french male novelists
alain_dorémieux	french science fiction writers
alain_dorémieux	french translators
alain_dorémieux	writers from paris
alain_farah	1979 births
alain_farah	21st-century canadian novelists
alain_farah	21st-century canadian poets
alain_farah	alain farah is a canadian writer and academic. born in montreal
alain_farah	canadian male novelists
alain_farah	canadian male poets
alain_farah	canadian novelists in french
alain_farah	canadian people of lebanese descent
alain_farah	mcgill university faculty
alain_farah	writers from montreal
alain_jouffroy	1928 births
alain_jouffroy	2015 deaths
alain_jouffroy	20th-century french poets
alain_jouffroy	20th-century french writers
alain_jouffroy	alain jouffroy was a french writer poet and artist. jouffroy
alain_jouffroy	french art critics
alain_jouffroy	french male poets
alain_jouffroy	prix goncourt de la poésie winners
alain_jouffroy	prix roger caillois recipients
alain_jouffroy	writers from paris
alain_leroy_locke	1886 births
alain_leroy_locke	1954 deaths
alain_leroy_locke	20th-century bahá'ís
alain_leroy_locke	african-american academics
alain_leroy_locke	african-american bahá'ís
alain_leroy_locke	african-american philosophers
alain_leroy_locke	african-american writers
alain_leroy_locke	alain leroy locke was an american writer philosopher educator
alain_leroy_locke	alumni of hertford college oxford
alain_leroy_locke	american educators
alain_leroy_locke	american philosophers
alain_leroy_locke	american rhodes scholars
alain_leroy_locke	burials at the congressional cemetery
alain_leroy_locke	commanders of the national order of honour and merit
alain_leroy_locke	gay writers
alain_leroy_locke	harlem renaissance
alain_leroy_locke	harvard university alumni
alain_leroy_locke	lgbt african americans
alain_leroy_locke	lgbt bahá'ís
alain_leroy_locke	philadelphia school of pedagogy alumni
alain_leroy_locke	writers from philadelphia
alain_robbe-grillet	1922 births
alain_robbe-grillet	2008 deaths
alain_robbe-grillet	20th-century french novelists
alain_robbe-grillet	alain robbe-grillet was a french writer and filmmaker. he was
alain_robbe-grillet	french film directors
alain_robbe-grillet	french literary critics
alain_robbe-grillet	french male novelists
alain_robbe-grillet	lycée saint-louis alumni
alain_robbe-grillet	members of the académie française
alain_robbe-grillet	officiers of the légion d'honneur
alain_robbe-grillet	people from brest france
alan_armstrong	1939 births
alan_armstrong	21st-century american novelists
alan_armstrong	alan w. armstrong is an american writer. his best known book
alan_armstrong	american children's writers
alan_armstrong	american male novelists
alan_armstrong	newbery honor winners
alan_b.mcelroy	1960 births
alan_b.mcelroy	alan b. mcelroy is an american screenwriter known for his collaborations
alan_b.mcelroy	american comics writers
alan_b.mcelroy	american film directors
alan_b.mcelroy	american male screenwriters
alan_b.mcelroy	american television producers
alan_b.mcelroy	boston university alumni
alan_b.mcelroy	film directors from ohio
alan_b.mcelroy	people from cleveland
alan_ball_:screenwriter	1957 births
alan_ball_:screenwriter	20th-century american dramatists and playwrights
alan_ball_:screenwriter	alan erwin ball is an american writer director and producer for
alan_ball_:screenwriter	american buddhists
alan_ball_:screenwriter	american film directors
alan_ball_:screenwriter	american male dramatists and playwrights
alan_ball_:screenwriter	american male screenwriters
alan_ball_:screenwriter	american television directors
alan_ball_:screenwriter	american television writers
alan_ball_:screenwriter	best original screenplay academy award winners
alan_ball_:screenwriter	best screenplay golden globe winners
alan_ball_:screenwriter	buddhist writers
alan_ball_:screenwriter	directors guild of america award winners
alan_ball_:screenwriter	florida state university alumni
alan_ball_:screenwriter	gay writers
alan_ball_:screenwriter	lgbt buddhists
alan_ball_:screenwriter	lgbt directors
alan_ball_:screenwriter	lgbt dramatists and playwrights
alan_ball_:screenwriter	lgbt people from georgia u.s. state
alan_ball_:screenwriter	lgbt screenwriters
alan_ball_:screenwriter	lgbt writers from the united states
alan_ball_:screenwriter	male television writers
alan_ball_:screenwriter	primetime emmy award winners
alan_ball_:screenwriter	showrunners
alan_ball_:screenwriter	writers from atlanta
alan_ball_:screenwriter	writers guild of america award winners
alan_barnes_:writer	alan barnes is a british writer and editor particularly noted
alan_barnes_:writer	british magazine editors
alan_barnes_:writer	british male writers
alan_barnes_:writer	year of birth missing living people
alan_bleasdale	1946 births
alan_bleasdale	alan bleasdale is an english writer best known for social realist
alan_bleasdale	alumni of the university of chester
alan_bleasdale	english dramatists and playwrights
alan_bleasdale	english male dramatists and playwrights
alan_bleasdale	english television writers
alan_bleasdale	male screenwriters
alan_bleasdale	people from huyton
alan_bleasdale	social realism
alan_booth	1946 births
alan_booth	1993 deaths
alan_booth	alan booth was a well-known english travel writer who wrote two
alan_booth	alumni of the university of birmingham
alan_booth	deaths from colorectal cancer
alan_booth	english travel writers
alan_bradley_:writer	1938 births
alan_bradley_:writer	21st-century canadian novelists
alan_bradley_:writer	agatha award winners
alan_bradley_:writer	alan bradley is a canadian mystery writer known for his flavia
alan_bradley_:writer	barry award winners
alan_bradley_:writer	canadian mystery writers
alan_bradley_:writer	dilys award winners
alan_bradley_:writer	macavity award winners
alan_bradley_:writer	writers from toronto
alan_campbell_:screenwriter	1904 births
alan_campbell_:screenwriter	1963 deaths
alan_campbell_:screenwriter	20th-century american male actors
alan_campbell_:screenwriter	american male actors who committed suicide
alan_campbell_:screenwriter	american male screenwriters
alan_campbell_:screenwriter	born in richmond virginia he was the only child of harry l. campbell
alan_campbell_:screenwriter	male actors from virginia
alan_campbell_:screenwriter	people from richmond virginia
alan_campbell_:screenwriter	suicides in california
alan_campbell_:screenwriter	united states army officers
alan_campbell_:screenwriter	virginia military institute alumni
alan_cheuse	1940 births
alan_cheuse	2015 deaths
alan_cheuse	20th-century american novelists
alan_cheuse	20th-century american short story writers
alan_cheuse	21st-century american novelists
alan_cheuse	21st-century american short story writers
alan_cheuse	alan stuart cheuse was an american writer and critic
alan_cheuse	american literary critics
alan_cheuse	american male novelists
alan_cheuse	american male short story writers
alan_cheuse	american people of romanian-jewish descent
alan_cheuse	american people of russian-jewish descent
alan_cheuse	bennington college faculty
alan_cheuse	george mason university faculty
alan_cheuse	jewish american novelists
alan_cheuse	people from perth amboy new jersey
alan_cheuse	road incident deaths in california
alan_cheuse	rutgers university alumni
alan_cheuse	sewanee: the university of the south faculty
alan_cheuse	university of michigan faculty
alan_cheuse	university of virginia faculty
alan_cheuse	writers from new jersey
alan_cheuse	writers from virginia
alan_coleman	1936 births
alan_coleman	2013 deaths
alan_coleman	alan james coleman was an english australian tv series writer
alan_coleman	australian soap opera writers
alan_coleman	english screenwriters
alan_coleman	english soap opera writers
alan_davis	1956 births
alan_davis	alan davis
alan_davis	alan davis is an english writer and artist of comic books known
alan_davis	english comics artists
alan_davis	english comics writers
alan_dean_foster	1946 births
alan_dean_foster	20th-century american novelists
alan_dean_foster	21st-century american novelists
alan_dean_foster	alan dean foster is an american writer of fantasy and science
alan_dean_foster	american fantasy writers
alan_dean_foster	american male novelists
alan_dean_foster	american science fiction writers
alan_dean_foster	dinotopia
alan_dean_foster	people from new york city
alan_dean_foster	people from prescott arizona
alan_dean_foster	university of california los angeles alumni
alan_dean_foster	writers from arizona
alan_dean_foster	writers from new york
alan_e.nourse	1928 births
alan_e.nourse	1992 deaths
alan_e.nourse	20th-century american novelists
alan_e.nourse	20th-century american short story writers
alan_e.nourse	alan edward nourse was an american science fiction writer and
alan_e.nourse	american male novelists
alan_e.nourse	american male short story writers
alan_e.nourse	american science fiction writers
alan_fennell	1936 births
alan_fennell	2001 deaths
alan_fennell	alan fennell was a british writer and editor best known for work
alan_fennell	british screenwriters
alan_fennell	british television writers
alan_fennell	male television writers
alan_gibbons	1953 births
alan_gibbons	alan albert gibbons is an english writer of children's books
alan_gibbons	english children's writers
alan_gibbons	english fantasy writers
alan_gibbons	english horror writers
alan_grant_:writer	1949 births
alan_grant_:writer	alan grant is a scottish comic book writer known for writing
alan_grant_:writer	scottish comics writers
alan_j.gould	1898 births
alan_j.gould	1993 deaths
